*********************************************************
Program parameters

baseParams	(Str)	1.0 10.0 1
clusterParams	(Str)	0.05 2 1.0 2.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.35 6.0 3.0
ligandMs	(Str)	20.0 1.4
ligandPdb	(Str)	BPA_0001.fa.pdb
ligandSeg	(Str)	5.0 15.0 0.1 1 1 1 5
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	2.0 1.0 0.4 0.5 0.9
protLib	(Str)	/gpfs/DS3524-1/WORK/greisen/ExternalProgram/patchdock/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	AnkC2_G3_coot_final_01.pdb
receptorSeg	(Str)	10.0 20.0 0.5 0 0 1 5
scoreParams	(Str)	0.3 -4.0 0.4 0.0 0.0 200 -4 -2 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 |  4202 | -1.84 |  452.60 |     0 |     0 |     0 |  -44.02 |    0.00 |    0.00 |     0 | 0.00 || -2.24274 -0.36212 -0.43061 -1.36145 -17.02943 54.31818
   2 |  4092 | -2.18 |  472.40 |     0 |     0 |     0 |  -19.34 |    0.00 |    0.00 |     0 | 0.00 || -2.62461 -0.99018 -0.27182 11.82660 -14.66108 52.01972
   3 |  4040 | -1.66 |  441.00 |     0 |     0 |     0 |  -74.11 |    0.00 |    0.00 |     0 | 0.00 || -1.86830 -0.00422 2.98863 -1.00081 25.43273 49.12999
   4 |  4012 | -2.03 |  444.20 |     0 |     0 |     0 |  -37.44 |    0.00 |    0.00 |     0 | 0.00 || 0.28871 1.04039 -0.69285 10.97521 10.05244 15.25385
   5 |  3964 | -1.99 |  464.00 |     0 |     0 |     0 |  -44.12 |    0.00 |    0.00 |     0 | 0.00 || 2.58753 0.51957 1.38043 -7.59714 -14.68698 32.72688
   6 |  3956 | -2.23 |  475.90 |     0 |     0 |     0 |  -39.93 |    0.00 |    0.00 |     0 | 0.00 || 0.43778 -0.22003 -1.09976 11.33344 8.43057 29.10942
   7 |  3940 | -2.00 |  454.40 |     0 |     0 |     0 |  -51.89 |    0.00 |    0.00 |     0 | 0.00 || -2.96784 0.33229 -0.20706 -14.55067 7.51568 41.47361
   8 |  3914 | -2.39 |  458.80 |     0 |     0 |     0 |    5.69 |    0.00 |    0.00 |     0 | 0.00 || 0.25215 -1.19331 1.76959 -6.20380 -14.93821 34.05123
   9 |  3906 | -2.22 |  478.50 |     0 |     0 |     0 |  -23.97 |    0.00 |    0.00 |     0 | 0.00 || -1.95202 0.70025 3.09628 0.41936 24.95247 52.82020
  10 |  3876 | -2.55 |  472.50 |     0 |     0 |     0 |  -16.29 |    0.00 |    0.00 |     0 | 0.00 || 2.56245 0.48473 1.97508 -6.38688 -4.08248 67.76940
  11 |  3844 | -2.16 |  453.10 |     0 |     0 |     0 |  -23.49 |    0.00 |    0.00 |     0 | 0.00 || -1.23727 0.18673 -2.91338 -11.75575 20.81934 37.09826
  12 |  3806 | -1.80 |  422.90 |     0 |     0 |     0 |   -2.60 |    0.00 |    0.00 |     0 | 0.00 || 1.39673 -0.07370 2.04294 -32.73816 9.76254 19.63187
  13 |  3804 | -2.39 |  457.70 |     0 |     0 |     0 |  -70.70 |    0.00 |    0.00 |     0 | 0.00 || 1.21019 -1.12055 1.81765 -29.55391 7.16152 15.45975
  14 |  3796 | -1.94 |  450.50 |     0 |     0 |     0 |  -41.50 |    0.00 |    0.00 |     0 | 0.00 || -0.01727 -0.43339 -2.73866 -4.59820 13.08904 -1.50764
  15 |  3764 | -2.49 |  465.00 |     0 |     0 |     0 |   -3.40 |    0.00 |    0.00 |     0 | 0.00 || -2.25089 1.07719 2.82797 12.10513 18.77599 54.86448
