*********************************************************
Program parameters

baseParams	(Str)	1.0 10.0 1
clusterParams	(Str)	0.05 2 1.0 2.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.35 6.0 3.0
ligandMs	(Str)	20.0 1.4
ligandPdb	(Str)	BPA_0001.fa.pdb
ligandSeg	(Str)	5.0 15.0 0.1 1 1 1 5
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	2.0 1.0 0.4 0.5 0.9
protLib	(Str)	/gpfs/DS3524-1/WORK/greisen/ExternalProgram/patchdock/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	TJ41C3_pm1_v2.pdb
receptorSeg	(Str)	10.0 20.0 0.5 0 0 1 5
scoreParams	(Str)	0.3 -4.0 0.4 0.0 0.0 200 -4 -2 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 |  4156 | -2.07 |  494.60 |     0 |     0 |     0 | -177.31 |    0.00 |    0.00 |     0 | 0.00 || -2.14509 0.54865 -1.18997 -25.26477 4.84502 6.48427
   2 |  4118 | -2.33 |  500.80 |     0 |     0 |     0 | -186.55 |    0.00 |    0.00 |     0 | 0.00 || -2.42619 -0.96023 1.73546 7.82396 28.32077 0.78605
   3 |  4114 | -2.18 |  470.10 |     0 |     0 |     0 | -213.73 |    0.00 |    0.00 |     0 | 0.00 || -0.70992 0.21572 3.01141 5.10256 12.15721 -19.28999
   4 |  4026 | -2.11 |  471.50 |     0 |     0 |     0 | -169.12 |    0.00 |    0.00 |     0 | 0.00 || -1.50637 -0.78009 0.13372 16.28590 -20.90095 -10.51187
   5 |  4018 | -2.10 |  485.50 |     0 |     0 |     0 | -204.44 |    0.00 |    0.00 |     0 | 0.00 || 2.65887 -0.58715 1.62298 -13.49900 26.34113 12.42080
   6 |  4012 | -2.32 |  494.20 |     0 |     0 |     0 | -172.51 |    0.00 |    0.00 |     0 | 0.00 || -1.51469 -0.42986 -2.92435 5.92719 19.96646 -9.56550
   7 |  4002 | -1.79 |  440.50 |     0 |     0 |     0 | -160.20 |    0.00 |    0.00 |     0 | 0.00 || -2.22992 -1.22876 -1.66162 -6.52766 -12.34243 15.37663
   8 |  3992 | -2.59 |  459.40 |     0 |     0 |     0 | -170.95 |    0.00 |    0.00 |     0 | 0.00 || -2.91891 0.09812 2.95169 13.87920 8.97558 16.77703
   9 |  3988 | -2.02 |  454.70 |     0 |     0 |     0 |    0.03 |    0.00 |    0.00 |     0 | 0.00 || -1.11632 -0.49971 -0.63791 -19.29503 -4.15237 -31.90122
  10 |  3946 | -2.30 |  484.70 |     0 |     0 |     0 | -190.06 |    0.00 |    0.00 |     0 | 0.00 || -0.57384 0.29356 1.04012 6.27962 -5.37443 -20.19322
  11 |  3938 | -2.35 |  488.30 |     0 |     0 |     0 | -165.18 |    0.00 |    0.00 |     0 | 0.00 || -2.27217 0.53968 1.10133 9.22004 -21.97118 8.39340
  12 |  3936 | -2.23 |  479.70 |     0 |     0 |     0 |  -82.86 |    0.00 |    0.00 |     0 | 0.00 || 0.10866 -0.34668 -2.24026 1.48462 -6.04628 -26.12105
  13 |  3932 | -1.93 |  439.00 |     0 |     0 |     0 | -173.40 |    0.00 |    0.00 |     0 | 0.00 || -1.87235 0.95260 -1.01936 -27.56858 -21.74210 21.03742
  14 |  3928 | -1.89 |  430.50 |     0 |     0 |     0 | -152.47 |    0.00 |    0.00 |     0 | 0.00 || -2.26431 -1.20978 2.43509 -6.04500 11.74451 15.95576
  15 |  3926 | -2.53 |  477.90 |     0 |     0 |     0 | -146.78 |    0.00 |    0.00 |     0 | 0.00 || -2.27479 0.76977 -2.92454 14.26681 18.98678 7.14172
  16 |  3922 | -2.30 |  485.40 |     0 |     0 |     0 | -187.00 |    0.00 |    0.00 |     0 | 0.00 || -2.92892 -0.88015 -2.49889 -26.97389 -15.64683 6.16200
