*********************************************************
Program parameters

baseParams	(Str)	1.0 10.0 1
clusterParams	(Str)	0.05 2 1.0 2.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.35 6.0 3.0
ligandMs	(Str)	20.0 1.4
ligandPdb	(Str)	BPA_0001.fa.pdb
ligandSeg	(Str)	5.0 15.0 0.1 1 1 1 5
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	2.0 1.0 0.4 0.5 0.9
protLib	(Str)	/gpfs/DS3524-1/WORK/greisen/ExternalProgram/patchdock/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	ank1C2_G3.pdb
receptorSeg	(Str)	10.0 20.0 0.5 0 0 1 5
scoreParams	(Str)	0.3 -4.0 0.4 0.0 0.0 200 -4 -2 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 |  3838 | -2.45 |  465.40 |     0 |     0 |     0 |   17.67 |    0.00 |    0.00 |     0 | 0.00 || 0.26652 -1.10403 1.98676 11.05815 -23.58365 -10.85113
   2 |  3832 | -2.20 |  462.60 |     0 |     0 |     0 |   -0.57 |    0.00 |    0.00 |     0 | 0.00 || 3.01039 1.33277 0.42543 -31.22939 -3.48708 11.19851
   3 |  3728 | -2.45 |  460.60 |     0 |     0 |     0 |   19.17 |    0.00 |    0.00 |     0 | 0.00 || 1.45897 1.33745 -1.16675 33.55478 3.01789 6.90904
   4 |  3714 | -2.17 |  448.40 |     0 |     0 |     0 |   -4.35 |    0.00 |    0.00 |     0 | 0.00 || -1.75994 -0.67793 -2.77378 2.60343 13.04879 -2.17037
   5 |  3700 | -2.18 |  465.40 |     0 |     0 |     0 |  -10.80 |    0.00 |    0.00 |     0 | 0.00 || 3.00471 0.13943 2.39844 -14.83596 8.05036 23.18403
   6 |  3682 | -2.56 |  451.40 |     0 |     0 |     0 |  -10.92 |    0.00 |    0.00 |     0 | 0.00 || -1.77469 -0.19557 2.98162 13.28231 15.64459 -0.19499
   7 |  3670 | -2.57 |  458.70 |     0 |     0 |     0 |   32.77 |    0.00 |    0.00 |     0 | 0.00 || 0.73781 -1.03184 -1.17088 -1.80116 21.27215 -9.07092
   8 |  3636 | -2.45 |  452.20 |     0 |     0 |     0 |   33.08 |    0.00 |    0.00 |     0 | 0.00 || 1.26091 -0.82295 2.42244 -0.88953 -21.48306 -3.43464
   9 |  3598 | -2.41 |  451.30 |     0 |     0 |     0 |  -18.73 |    0.00 |    0.00 |     0 | 0.00 || -2.07536 0.33310 0.41570 24.13275 -23.62180 9.10044
  10 |  3596 | -2.32 |  452.20 |     0 |     0 |     0 |   -7.48 |    0.00 |    0.00 |     0 | 0.00 || -2.76200 0.51870 3.11835 -8.19521 17.49645 18.43645
  11 |  3530 | -2.65 |  454.70 |     0 |     0 |     0 |  -15.30 |    0.00 |    0.00 |     0 | 0.00 || -1.66338 -0.90795 0.10996 -9.40550 -14.98916 -3.49845
  12 |  3486 | -2.45 |  453.90 |     0 |     0 |     0 |    9.19 |    0.00 |    0.00 |     0 | 0.00 || -0.68017 -0.18733 -0.19256 -15.66946 -4.01664 -18.88244
  13 |  3460 | -2.51 |  452.00 |     0 |     0 |     0 |    2.17 |    0.00 |    0.00 |     0 | 0.00 || -2.18533 -0.08550 -0.30109 -15.68332 -13.26642 8.87828
  14 |  3458 | -2.80 |  437.30 |     0 |     0 |     0 |  -40.67 |    0.00 |    0.00 |     0 | 0.00 || -1.64120 0.32280 -3.03596 -21.21965 27.24081 -0.52627
  15 |  3444 | -3.15 |  458.00 |     0 |     0 |     0 |  -26.71 |    0.00 |    0.00 |     0 | 0.00 || -2.53823 -0.04871 -3.09490 8.71936 9.09642 15.07395
  16 |  3424 | -2.01 |  434.80 |     0 |     0 |     0 |   40.59 |    0.00 |    0.00 |     0 | 0.00 || -0.65484 0.05932 2.86404 12.53194 4.05895 -17.48540
  17 |  3390 | -2.24 |  443.20 |     0 |     0 |     0 |  -56.36 |    0.00 |    0.00 |     0 | 0.00 || -0.84567 -1.34739 -2.06603 8.02615 14.28102 -9.13435
  18 |  3376 | -2.73 |  441.60 |     0 |     0 |     0 |  -62.14 |    0.00 |    0.00 |     0 | 0.00 || 0.01990 -0.91616 -1.02436 -15.71261 20.20922 -15.49157
  19 |  3364 | -2.72 |  449.80 |     0 |     0 |     0 |  -21.29 |    0.00 |    0.00 |     0 | 0.00 || -1.27479 -0.17895 0.13622 20.16793 -25.59716 -10.68237
  20 |  3342 | -2.34 |  440.80 |     0 |     0 |     0 |  -52.65 |    0.00 |    0.00 |     0 | 0.00 || -2.59751 0.43598 -0.36872 5.39932 -18.25333 16.92446
  21 |  3338 | -2.32 |  424.80 |     0 |     0 |     0 |   61.05 |    0.00 |    0.00 |     0 | 0.00 || 0.69478 -0.29073 -0.81737 -3.06397 17.75538 -12.84868
  22 |  3334 | -2.67 |  444.00 |     0 |     0 |     0 |  -56.55 |    0.00 |    0.00 |     0 | 0.00 || 0.79508 -1.23912 -1.34935 2.58715 19.62543 -8.07309
  23 |  3334 | -2.26 |  424.40 |     0 |     0 |     0 |   46.21 |    0.00 |    0.00 |     0 | 0.00 || -2.65942 -0.51040 3.00165 4.81309 8.15533 13.92342
  24 |  3330 | -2.40 |  413.10 |     0 |     0 |     0 |   68.84 |    0.00 |    0.00 |     0 | 0.00 || 1.51848 -0.49176 2.41544 -2.28367 -19.80969 1.94907
  25 |  3328 | -2.18 |  427.00 |     0 |     0 |     0 |   51.21 |    0.00 |    0.00 |     0 | 0.00 || -0.58012 -0.03620 -0.48290 -16.47485 -2.05818 -18.21649
  26 |  3318 | -2.64 |  440.70 |     0 |     0 |     0 |   45.58 |    0.00 |    0.00 |     0 | 0.00 || 1.46256 1.01938 2.09697 -34.02901 -3.21775 6.46753
  27 |  3308 | -2.38 |  446.20 |     0 |     0 |     0 |    9.30 |    0.00 |    0.00 |     0 | 0.00 || 2.97844 0.03776 -0.95880 17.07350 -9.68611 23.26414
  28 |  3298 | -2.49 |  437.30 |     0 |     0 |     0 |   28.35 |    0.00 |    0.00 |     0 | 0.00 || -1.75076 -0.32315 3.12154 -19.33956 28.41708 -0.55945
  29 |  3288 | -2.41 |  440.70 |     0 |     0 |     0 |  -25.92 |    0.00 |    0.00 |     0 | 0.00 || -2.31430 1.44880 3.08625 24.37894 11.90758 7.37960
  30 |  3256 | -3.35 |  464.10 |     0 |     0 |     0 |  -33.35 |    0.00 |    0.00 |     0 | 0.00 || 3.11159 0.70970 1.84273 -7.40426 -2.61444 21.20797
  31 |  3256 | -2.94 |  449.40 |     0 |     0 |     0 |    3.42 |    0.00 |    0.00 |     0 | 0.00 || -2.57876 -0.01759 0.16917 -8.01309 -7.38944 16.49324
  32 |  3254 | -2.57 |  437.50 |     0 |     0 |     0 |   15.24 |    0.00 |    0.00 |     0 | 0.00 || -2.86641 0.30223 -0.21070 10.44238 -14.64428 22.59462
  33 |  3248 | -2.60 |  430.60 |     0 |     0 |     0 |  -44.12 |    0.00 |    0.00 |     0 | 0.00 || 2.75024 0.93400 1.00213 0.98255 -15.34937 15.05908
  34 |  3244 | -2.53 |  431.50 |     0 |     0 |     0 |   50.29 |    0.00 |    0.00 |     0 | 0.00 || -3.07480 -0.39891 2.21745 -19.09274 19.84136 19.43751
  35 |  3238 | -2.39 |  429.20 |     0 |     0 |     0 |   40.46 |    0.00 |    0.00 |     0 | 0.00 || 2.15486 -0.63690 -0.48557 3.20125 14.63534 10.46790
  36 |  3226 | -2.33 |  437.80 |     0 |     0 |     0 |  -26.73 |    0.00 |    0.00 |     0 | 0.00 || -1.25274 -0.87292 0.91219 -1.13941 -10.01819 -10.27685
  37 |  3224 | -2.26 |  412.70 |     0 |     0 |     0 |   69.62 |    0.00 |    0.00 |     0 | 0.00 || -1.40973 0.12020 0.17841 24.86650 -25.67191 -4.80648
  38 |  3210 | -2.68 |  442.00 |     0 |     0 |     0 |  -20.63 |    0.00 |    0.00 |     0 | 0.00 || 0.56378 -0.59870 -1.02854 23.51579 5.88881 -16.70162
  39 |  3206 | -2.25 |  405.10 |     0 |     0 |     0 |   90.26 |    0.00 |    0.00 |     0 | 0.00 || -1.75950 -0.07657 2.58951 24.41514 12.80825 2.01087
  40 |  3202 | -3.19 |  436.90 |     0 |     0 |     0 |  -17.65 |    0.00 |    0.00 |     0 | 0.00 || -1.38430 -0.70182 -2.85744 -19.94243 26.08381 -10.01563
  41 |  3196 | -3.04 |  436.20 |     0 |     0 |     0 |  -25.69 |    0.00 |    0.00 |     0 | 0.00 || 0.69309 -0.39956 2.27086 -25.88697 -5.76385 -15.51804
  42 |  3176 | -2.64 |  408.70 |     0 |     0 |     0 |   63.50 |    0.00 |    0.00 |     0 | 0.00 || -2.37955 0.35567 -0.22952 -20.91457 -10.02721 14.06598
  43 |  3170 | -2.42 |  429.00 |     0 |     0 |     0 |  -74.49 |    0.00 |    0.00 |     0 | 0.00 || 3.10771 0.84514 -2.43437 -4.45508 16.16033 16.32409
  44 |  3164 | -3.35 |  457.00 |     0 |     0 |     0 |   -5.78 |    0.00 |    0.00 |     0 | 0.00 || -0.56371 -0.91538 -0.84598 -28.50531 10.81050 -13.73697
  45 |  3158 | -2.62 |  433.20 |     0 |     0 |     0 |   12.96 |    0.00 |    0.00 |     0 | 0.00 || -2.53644 -0.46800 2.70930 -19.41290 26.80005 12.75876
  46 |  3146 | -2.50 |  429.50 |     0 |     0 |     0 |   22.16 |    0.00 |    0.00 |     0 | 0.00 || 1.12986 -0.15645 2.18953 -33.09629 -3.04922 -4.89599
  47 |  3140 | -2.64 |  424.00 |     0 |     0 |     0 |    4.54 |    0.00 |    0.00 |     0 | 0.00 || -2.36070 1.20171 0.67410 -9.16963 -14.95900 11.52740
  48 |  3130 | -2.39 |  418.40 |     0 |     0 |     0 |   54.28 |    0.00 |    0.00 |     0 | 0.00 || -0.13714 0.88992 -3.12741 -35.90225 5.59892 -8.62981
  49 |  3130 | -2.93 |  436.20 |     0 |     0 |     0 |  -65.47 |    0.00 |    0.00 |     0 | 0.00 || -0.63265 -1.16161 1.53755 20.81832 -22.02847 -11.06892
  50 |  3122 | -2.57 |  435.90 |     0 |     0 |     0 |  -49.75 |    0.00 |    0.00 |     0 | 0.00 || 0.15503 -0.57190 2.83561 17.69440 -14.37753 -19.16747
  51 |  3108 | -2.43 |  403.80 |     0 |     0 |     0 |   70.03 |    0.00 |    0.00 |     0 | 0.00 || -2.79244 0.17585 3.03222 16.63599 3.78947 20.29543
  52 |  3104 | -3.04 |  435.40 |     0 |     0 |     0 |  -28.06 |    0.00 |    0.00 |     0 | 0.00 || -2.23255 0.35000 -0.10520 -15.69128 -13.07001 10.23651
  53 |  3092 | -2.76 |  430.30 |     0 |     0 |     0 |    6.30 |    0.00 |    0.00 |     0 | 0.00 || -2.48700 0.31561 2.82145 20.42612 8.01706 14.40349
  54 |  3088 | -2.76 |  437.40 |     0 |     0 |     0 |   34.41 |    0.00 |    0.00 |     0 | 0.00 || -1.17256 -0.97533 -2.79210 13.81352 13.42946 -7.78296
  55 |  3082 | -2.91 |  439.90 |     0 |     0 |     0 |  -27.85 |    0.00 |    0.00 |     0 | 0.00 || 1.98892 1.03099 1.97055 0.13312 -20.51769 10.03780
  56 |  3070 | -2.33 |  410.80 |     0 |     0 |     0 |   87.81 |    0.00 |    0.00 |     0 | 0.00 || 1.22330 -0.40085 1.96437 -37.04236 1.14178 -2.76588
  57 |  3068 | -2.61 |  442.80 |     0 |     0 |     0 |  -13.11 |    0.00 |    0.00 |     0 | 0.00 || 1.73991 1.05529 -1.41609 5.70641 13.54917 7.55746
  58 |  3042 | -2.64 |  414.30 |     0 |     0 |     0 |   86.87 |    0.00 |    0.00 |     0 | 0.00 || 3.13492 0.30509 -0.24842 -19.20683 4.32134 23.83789
  59 |  3038 | -2.87 |  447.50 |     0 |     0 |     0 |  -29.31 |    0.00 |    0.00 |     0 | 0.00 || -2.34036 1.11127 -2.59137 -15.39497 25.62468 8.98196
  60 |  3018 | -2.56 |  435.00 |     0 |     0 |     0 |   11.04 |    0.00 |    0.00 |     0 | 0.00 || 1.06454 0.89542 -0.80946 34.59009 1.74004 -0.27261
  61 |  3010 | -2.64 |  395.20 |     0 |     0 |     0 |   60.85 |    0.00 |    0.00 |     0 | 0.00 || 1.59682 0.03461 1.89175 -38.77348 6.06109 5.26308
  62 |  3010 | -2.66 |  432.10 |     0 |     0 |     0 |   36.16 |    0.00 |    0.00 |     0 | 0.00 || -2.89332 1.19747 -1.89481 10.85288 13.04277 14.25564
  63 |  3002 | -2.83 |  423.20 |     0 |     0 |     0 |   43.26 |    0.00 |    0.00 |     0 | 0.00 || -2.51557 -0.67537 -0.13433 -3.66329 -11.19592 10.92886
  64 |  2994 | -2.55 |  430.60 |     0 |     0 |     0 |  -73.19 |    0.00 |    0.00 |     0 | 0.00 || -2.28424 -0.73008 -0.38735 -9.79268 -15.72719 5.07605
  65 |  2992 | -2.44 |  407.10 |     0 |     0 |     0 |   69.53 |    0.00 |    0.00 |     0 | 0.00 || 1.54875 -0.15732 -1.14254 37.93156 -3.23835 4.16594
  66 |  2980 | -2.76 |  415.70 |     0 |     0 |     0 |   53.40 |    0.00 |    0.00 |     0 | 0.00 || -0.69731 -0.50214 -2.72385 -16.80377 18.65055 -18.38532
  67 |  2980 | -3.36 |  430.40 |     0 |     0 |     0 |  -14.32 |    0.00 |    0.00 |     0 | 0.00 || 0.21710 -0.85167 2.01849 11.39091 -22.14405 -14.02471
  68 |  2972 | -2.56 |  412.50 |     0 |     0 |     0 |   30.10 |    0.00 |    0.00 |     0 | 0.00 || -2.84868 -0.50364 -0.45282 23.69699 -21.82219 15.05443
  69 |  2960 | -2.56 |  439.50 |     0 |     0 |     0 |  -37.82 |    0.00 |    0.00 |     0 | 0.00 || -0.37071 -0.62719 -2.32207 15.44744 3.80052 -19.26972
  70 |  2952 | -2.53 |  428.70 |     0 |     0 |     0 |  -13.14 |    0.00 |    0.00 |     0 | 0.00 || 1.38649 -0.14012 -1.06153 34.43812 0.13790 0.28972
  71 |  2950 | -2.44 |  425.10 |     0 |     0 |     0 |   24.19 |    0.00 |    0.00 |     0 | 0.00 || -2.34261 -0.03096 -2.78433 -26.21863 20.69990 13.92101
  72 |  2940 | -2.69 |  406.00 |     0 |     0 |     0 |   69.10 |    0.00 |    0.00 |     0 | 0.00 || 0.36525 -0.73986 2.02650 9.32845 -19.56016 -14.51812
  73 |  2930 | -2.25 |  391.80 |     0 |     0 |     0 |   67.95 |    0.00 |    0.00 |     0 | 0.00 || 1.62075 0.49902 -0.86741 33.23180 4.95924 8.49555
  74 |  2930 | -2.51 |  387.20 |     0 |     0 |     0 |   99.54 |    0.00 |    0.00 |     0 | 0.00 || 0.39141 0.12396 2.22728 3.76740 -9.35834 -15.53460
