*********************************************************
Program parameters

baseParams	(Str)	1.0 10.0 1
clusterParams	(Str)	0.05 2 1.0 2.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.35 6.0 3.0
ligandMs	(Str)	20.0 1.4
ligandPdb	(Str)	BPA_0001.fa.pdb
ligandSeg	(Str)	5.0 15.0 0.1 1 1 1 5
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	2.0 1.0 0.4 0.5 0.9
protLib	(Str)	/gpfs/DS3524-1/WORK/greisen/ExternalProgram/patchdock/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	ank1C4.7.pdb
receptorSeg	(Str)	10.0 20.0 0.5 0 0 1 5
scoreParams	(Str)	0.3 -4.0 0.4 0.0 0.0 200 -4 -2 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 |  3220 | -1.78 |  344.00 |     0 |     0 |     0 |  -42.66 |    0.00 |    0.00 |     0 | 0.00 || -1.52277 0.15585 0.53049 -3.80988 -32.42357 -1.48817
   2 |  3210 | -1.78 |  348.00 |     0 |     0 |     0 |  -35.71 |    0.00 |    0.00 |     0 | 0.00 || -2.91901 -0.55656 -2.94783 -35.30152 -11.60623 17.46854
   3 |  3156 | -1.77 |  335.30 |     0 |     0 |     0 |  -54.46 |    0.00 |    0.00 |     0 | 0.00 || -1.61871 0.31990 -2.66879 4.12354 33.53840 1.14782
   4 |  3100 | -2.28 |  359.70 |     0 |     0 |     0 |  -49.60 |    0.00 |    0.00 |     0 | 0.00 || 2.90322 0.11476 -1.69600 18.62132 -20.51798 25.74170
   5 |  3090 | -1.56 |  322.90 |     0 |     0 |     0 |  -48.18 |    0.00 |    0.00 |     0 | 0.00 || -1.99279 -0.64561 2.08262 -1.85863 35.69409 3.99776
   6 |  3026 | -1.95 |  336.00 |     0 |     0 |     0 |  -30.29 |    0.00 |    0.00 |     0 | 0.00 || -1.67252 0.24898 -0.96317 -31.78715 3.96114 2.36746
   7 |  2990 | -1.45 |  322.30 |     0 |     0 |     0 |   -7.34 |    0.00 |    0.00 |     0 | 0.00 || -0.23098 -0.21455 -2.24974 16.60271 -19.37396 -19.40935
   8 |  2984 | -1.78 |  326.10 |     0 |     0 |     0 |  -31.44 |    0.00 |    0.00 |     0 | 0.00 || -0.25353 0.78085 -2.25740 -31.64345 -31.49890 -9.00711
   9 |  2978 | -1.40 |  323.00 |     0 |     0 |     0 |  -15.68 |    0.00 |    0.00 |     0 | 0.00 || 3.12481 -0.21369 0.08830 28.47534 14.63110 22.73676
  10 |  2956 | -2.26 |  347.10 |     0 |     0 |     0 |  -32.52 |    0.00 |    0.00 |     0 | 0.00 || -1.21796 0.10064 2.05894 30.69964 -5.67858 -7.31549
  11 |  2944 | -1.69 |  326.40 |     0 |     0 |     0 |   -0.81 |    0.00 |    0.00 |     0 | 0.00 || -1.86528 0.18617 -2.68502 7.35068 34.93287 6.59157
  12 |  2940 | -2.29 |  350.90 |     0 |     0 |     0 |   19.15 |    0.00 |    0.00 |     0 | 0.00 || -2.70795 -0.06071 -1.35431 -8.88228 -16.15900 34.45636
  13 |  2920 | -2.25 |  340.70 |     0 |     0 |     0 |  -54.86 |    0.00 |    0.00 |     0 | 0.00 || -2.86013 0.04297 -1.78167 6.40698 -18.87545 21.83512
  14 |  2920 | -1.45 |  310.60 |     0 |     0 |     0 |  -55.79 |    0.00 |    0.00 |     0 | 0.00 || 2.05117 1.06243 2.33094 -21.30410 -2.38894 10.24405
  15 |  2916 | -2.12 |  335.90 |     0 |     0 |     0 |  -64.76 |    0.00 |    0.00 |     0 | 0.00 || -3.04904 0.13848 1.43950 -10.54637 17.84619 23.41292
  16 |  2908 | -2.53 |  351.70 |     0 |     0 |     0 |   19.64 |    0.00 |    0.00 |     0 | 0.00 || -0.18821 0.54402 0.84824 1.02847 10.01609 1.93827
  17 |  2906 | -1.53 |  314.80 |     0 |     0 |     0 |  -62.33 |    0.00 |    0.00 |     0 | 0.00 || 1.98348 1.02904 0.64899 -0.69779 25.11658 10.50407
  18 |  2904 | -1.58 |  311.30 |     0 |     0 |     0 |  -67.00 |    0.00 |    0.00 |     0 | 0.00 || 0.34492 1.28037 -2.25473 -19.71629 -36.36067 -1.28256
  19 |  2876 | -1.34 |  300.50 |     0 |     0 |     0 |  -39.79 |    0.00 |    0.00 |     0 | 0.00 || 1.09205 1.29974 -2.09184 -1.86789 -32.56664 2.60153
  20 |  2860 | -2.26 |  341.10 |     0 |     0 |     0 |  -50.11 |    0.00 |    0.00 |     0 | 0.00 || 2.77673 -0.45493 -2.38045 11.58403 6.76195 20.93129
  21 |  2852 | -2.41 |  328.30 |     0 |     0 |     0 |  -60.40 |    0.00 |    0.00 |     0 | 0.00 || 0.34296 -0.35764 -1.12759 -9.05005 25.00049 -15.38534
  22 |  2844 | -2.00 |  325.30 |     0 |     0 |     0 |   -1.64 |    0.00 |    0.00 |     0 | 0.00 || -0.70533 -0.08920 -3.04731 15.40679 28.63560 -15.60777
  23 |  2842 | -2.13 |  361.10 |     0 |     0 |     0 |   48.69 |    0.00 |    0.00 |     0 | 0.00 || 2.61493 -0.12223 2.07584 -11.04289 9.49057 36.51657
